Acronym,URI,Title,Type,Fairsharing,CPP,default query,protocol,body,accept,result format,distinctive property,distinctive namespace,response code,comment
OAI-PMH,https://www.openarchives.org/OAI/openarchivesprotocol.html,Open Archives Initiative - Protocol for Metadata Harvesting,doc,https://doi.org/10.25504/FAIRsharing.0417cf,,{endpointURI}?verb=Identify,GET,,text/xml,XML,<OAI-PMH>,http://www.openarchives.org/OAI/2.0/,200,
OAI-PMH,http://www.openarchives.org/OAI/2.0/,Open Archives Initiative - Protocol for Metadata Harvesting,namespace,https://doi.org/10.25504/FAIRsharing.0417cf,,,,,,,,,,
Static OAI,https://www.openarchives.org/OAI/2.0/guidelines-static-repository.htm,OAI Static Repository,doc,,,{endpointURI},GET,,text/xml,XML,<OAI-PMH>,"http://www.openarchives.org/OAI/2.0/""",200,
REST,https://ics.uci.edu/~fielding/pubs/dissertation/rest_arch_style.htm,Representational State Transfer,doc,,,{endpointURI},GET,,application/json,JSON,,,"200, 400",
OpenDAP,https://docs.opendap.org/index.php/Home,OpenDAP,doc,,,{endpointURI},,,text/xml,,,http://xml.opendap.org/ns/bes/1.0#,,"<html xmlns:bes=""http://xml.opendap.org/ns/bes/1.0#"">"
THREDDS,https://www.unidata.ucar.edu/software/tds/,THREDDS Data Server,doc,,,{endpointURI}/catalog.xml,,,text/xml,XML,<catalog,http://www.unidata.ucar.edu/namespaces/thredds/InvCatalog/v1.0,,
ERDDAP,https://coastwatch.pfeg.noaa.gov/erddap/index.html,ERDDAP,doc,,,{endpointURI}/index.json,,,,JSON,table,,,
SPARQL,https://www.w3.org/TR/sparql11-query/,SPARQL Query Language,doc,,,{endpointURI},GET,,application/rdf+xml,RDF,<rdf:RDF,,,
SOAP,https://www.w3.org/TR/soap/,Simple Object Access Protocol,doc,,,{endpointURI}?wsdl,,,text/xml,XML,,http://schemas.xmlsoap.org/wsdl/,,
SWORD,http://swordapp.org/,Simple Web-service Offering Repository Deposit,,,,{endpointURI},,,application/json,JSON,services,,"200, 401",this is for depositing mainly and tehfeore mostly will be gbehind a auth wall
Sitemaps,https://www.sitemaps.org/protocol.html,Sitemaps XML format,doc,,,{endpointURI},,,text/xml,XML,<urlset,http://www.sitemaps.org/schemas/sitemap/0.9,,
Sitemaps,http://www.sitemaps.org/schemas/sitemap/0.9,Sitemaps XML format,namespace,,,{endpointURI},,,,,,,,
OpenAPI,https://spec.openapis.org/oas/v3.1.0,OpenAPI Specification,doc,,,{endpointURI}/openapi.json,,,application/json,JSON,openapi,,,
OpenAPI,https://spec.openapis.org/oas/v3.0.3,OpenAPI Specification,doc,,,{endpointURI}/openapi.json,,,application/json,JSON,openapi,,,
OpenAPI,https://spec.openapis.org/oas/v2.0,OpenAPI Specification,doc,,,{endpointURI}/openapi.json,,,application/json,JSON,openapi,,,
IIIF Search API,https://iiif.io/api/search/2.0/,IIIF Content Search API,doc,,,{endpointURI},,,application/json,JSON,,,,The API should return a JSON error doc 
IIIF Presentation API,https://iiif.io/api/presentation/3.0/,IIIF Presentation API,doc,,,{endpointURI},,,application/json,JSON,,,,
LDN,https://www.w3.org/TR/ldn/,Linked Data Notifications,doc,,,,,,,,,,,
OpenSearch,https://github.com/dewitt/opensearch/blob/master/opensearch-1-1-draft-6.md,Open Search,doc,,,,,,,,,,,
OpenSearch,http://www.opensearch.org/Specifications/OpenSearch/1.1,Open Search,doc,,,,,,,,,,,
OpenSearch,http://a9.com/-/spec/opensearch/1.1/,Open Search,namespace,,,,,,,,,,,
RSS,https://www.rssboard.org/rss-specification,Really Simple Syndication,doc,,,,,,,,,,,
ATOM,https://www.ietf.org/rfc/rfc4287.txt,The Atom Syndication Format,doc,,,,,,,,,,,
FAIRiCat,https://signposting.org/FAIRiCat/,FAIRiCat: Supporting Discovery of a Repository's Interoperability Affordances,doc,,,,,,,,,,,
